src,src_port,dst,dst_port,protocol,start,end,duration,packets,bytes,occurrence_id
192.168.199.1,51393,192.37.0.134,445,TCP,1476813598.917612,1476813650.712471,51.794859,2,286,2
192.168.199.134,445,224.168.199.1,51393,TCP,1476813453.647613,1476813453.647613,0.000000,1,93,1
192.168.37.0,445,192.168.199.1,51393,TCP,1476813453.648635,1476813453.648635,0.000000,1,193,1
192.168.37.0,445,192.168.199.1,51393,TCP,1476813653.306919,1476813653.306919,0.000000,1,142,2
192.168.199.1,51393,192.168.199.110,445,TCP,1476813453.648717,1476813453.648717,0.000000,1,130,1
43.86.199.1,51393,192.168.199.134,445,TCP,1476813453.648948,1476813453.648948,0.000000,1,130,1
192.168.199.134,445,192.102.199.1,51254,TCP,1476813453.649077,1476813453.649077,0.000000,1,142,1
192.168.199.1,51249,192.168.199.134,445,TCP,1476813453.649157,1476813453.649157,0.000000,1,166,1
192.168.199.48,43690,192.168.170.170,43690,TCP,1476813453.649847,1476813453.649847,0.000000,1,93,1
192.168.199.48,43690,192.168.170.170,43690,TCP,1476814000.254683,1476814000.254683,0.000000,1,117,2
192.168.199.1,51393,224.168.199.134,14525,TCP,1476813453.799642,1476813453.799642,0.000000,1,166,1
192.168.199.134,26045,192.168.199.1,51393,TCP,1476813453.800979,1476813453.800979,0.000000,1,126,1
192.168.199.134,445,192.168.199.1,51237,TCP,1476813453.801644,1476813453.801644,0.000000,1,93,1
192.168.199.1,49345,192.168.199.134,445,TCP,1476813453.802625,1476813453.802625,0.000000,1,130,1
37.0.199.134,445,192.168.199.1,51393,TCP,1476813453.802759,1476813453.802759,0.000000,1,142,1
192.122.199.1,51393,192.168.199.134,445,TCP,1476813453.957342,1476813453.957342,0.000000,1,166,1
192.38.199.1,51393,192.168.199.134,445,TCP,1476813453.957922,1476813453.957922,0.000000,1,130,1
99.168.199.134,445,192.168.199.1,51393,TCP,1476813453.958076,1476813453.958076,0.000000,1,158,1
192.168.199.1,51370,192.168.199.134,43690,TCP,1476813453.958171,1476813453.958171,0.000000,1,130,1
192.168.199.1,51393,192.103.199.134,445,TCP,1476813453.960921,1476813453.960921,0.000000,1,168,1
192.168.199.134,445,192.168.199.76,51393,TCP,1476813453.96309,1476813453.96309,0.00000,1,142,1
192.168.199.134,445,192.170.199.1,51393,TCP,1476813453.963844,1476813453.963844,0.000000,1,93,1
192.168.199.1,16707,192.168.199.255,16707,UDP,1476813453.994514,1476813453.994514,0.000000,1,92,1
192.168.202.134,445,192.168.199.1,51393,TCP,1476813454.115366,1476813454.115366,0.000000,1,142,1
192.168.199.1,9921,192.168.199.132,445,TCP,1476813454.11642,1476813454.11642,0.00000,1,160,1
192.168.199.1,51408,192.168.199.134,445,TCP,1476813454.118348,1476813454.118348,0.000000,1,99,1
192.168.199.134,445,192.168.18.1,51393,TCP,1476813454.118531,1476813454.118531,0.000000,1,93,1
193.168.199.1,51393,192.184.199.134,445,TCP,1476813454.118729,1476813454.118729,0.000000,1,160,1
192.168.199.135,63037,192.185.199.1,53,UDP,1476813454.19181,1476813454.19181,0.00000,1,85,1
192.168.199.134,445,192.168.199.1,51299,TCP,1476813454.378979,1476813454.378979,0.000000,1,93,1
192.168.199.134,365,192.168.199.1,51393,TCP,1476813454.380512,1476813454.380512,0.000000,1,142,1
192.168.199.129,51393,192.168.199.134,445,TCP,1476813454.380617,1476813454.380617,0.000000,1,166,1
192.168.199.1,43690,192.170.170.170,43690,TCP,1476813454.432845,1476813454.432845,0.000000,1,54,1
192.168.199.1,51393,192.172.199.134,445,TCP,1476813455.384853,1476813455.384853,0.000000,1,166,1
192.80.199.134,445,192.168.199.1,51393,TCP,1476813455.38628,1476813455.38628,0.00000,1,126,1
192.168.199.1,51393,192.168.199.104,445,TCP,1476813455.386403,1476813455.386403,0.000000,1,99,1
192.168.199.1,51393,72.168.199.122,445,TCP,1476813455.390029,1476813455.390029,0.000000,1,130,1
192.168.170.170,43690,170.170.170.170,43690,TCP,1476813455.392983,1476813455.392983,0.000000,1,156,1
192.168.170.170,43690,170.170.170.170,43690,TCP,1476813933.259904,1476814010.484106,77.224202,200,20845,2
68.168.199.134,429,192.168.199.1,51393,TCP,1476813455.393735,1476813455.393735,0.000000,1,158,1
208.168.199.134,445,192.168.199.1,51393,TCP,1476813455.396549,1476813455.396549,0.000000,1,158,1
208.168.199.134,445,192.168.199.1,51393,TCP,1476813516.69563,1476813516.69563,0.00000,1,93,2
208.168.199.134,445,192.168.199.1,51393,TCP,1476813652.791673,1476813652.791673,0.000000,1,142,3
208.168.199.134,445,192.168.199.1,51393,TCP,1476813878.549115,1476813878.549115,0.000000,1,93,4
192.168.199.1,19393,192.168.199.134,445,TCP,1476813455.397395,1476813455.397395,0.000000,1,99,1
192.168.199.1,19393,192.168.199.134,445,TCP,1476813601.658019,1476813603.63107,1.973051,2,344,2
147.168.199.1,51393,192.168.199.134,445,TCP,1476813455.397888,1476813455.397888,0.000000,1,166,1
192.168.199.134,445,193.168.199.1,51393,TCP,1476813455.398241,1476813455.398241,0.000000,1,193,1
192.168.199.134,445,193.168.199.1,51393,TCP,1476813598.908605,1476813598.908605,0.000000,1,142,2
192.168.199.134,445,192.168.199.51,51393,TCP,1476813455.399281,1476813455.399281,0.000000,1,126,1
192.168.199.114,51393,192.168.199.134,445,TCP,1476813455.418767,1476813455.418767,0.000000,1,158,1
192.168.199.1,51393,192.98.199.134,445,TCP,1476813455.419705,1476813455.419705,0.000000,1,282,1
192.168.199.134,445,192.168.199.1,51397,TCP,1476813455.419957,1476813455.419957,0.000000,1,105,1
192.168.199.134,445,192.103.199.1,51393,TCP,1476813455.421835,1476813455.421835,0.000000,1,93,1
192.168.199.37,51393,0.168.199.134,445,TCP,1476813455.435718,1476813455.435718,0.000000,1,156,1
192.168.199.134,445,192.168.199.1,51392,TCP,1476813455.43617,1476813455.43617,0.00000,1,158,1
192.168.199.134,445,192.168.199.1,51392,TCP,1476813872.058063,1476813872.058063,0.000000,1,93,2
65.168.199.1,51393,192.168.199.134,445,TCP,1476813455.437743,1476813455.437743,0.000000,1,166,1
192.168.199.1,51393,192.168.199.134,12477,TCP,1476813455.43907,1476813455.43907,0.00000,1,99,1
192.168.199.134,307,192.168.199.1,51393,TCP,1476813455.462968,1476813455.462968,0.000000,1,93,1
192.168.199.134,293,192.168.199.1,193,TCP,1476813455.46458,1476813455.46458,0.00000,1,93,1
192.168.227.1,51393,192.168.199.134,445,TCP,1476813455.515535,1476813455.515535,0.000000,1,54,1
192.168.199.1,51267,192.168.199.134,445,TCP,1476813466.115887,1476813466.115887,0.000000,1,93,1
192.168.199.133,60601,192.168.199.1,53,UDP,1476813488.984174,1476813497.021948,8.037774,4,336,1
192.168.199.86,445,192.168.199.1,51393,TCP,1476813492.920404,1476813492.920404,0.000000,1,93,1
192.168.199.135,50724,196.168.199.1,53,UDP,1476813495.718967,1476813495.718967,0.000000,1,85,1
192.168.37.0,49612,192.168.199.134,445,TCP,1476813496.346627,1476813496.346627,0.000000,1,66,1
192.168.37.0,49612,192.168.199.134,445,TCP,1476813967.045175,1476814010.428452,43.383277,136,15912,2
192.168.199.135,50724,192.168.199.1,53,UDP,1476813496.733282,1476813503.768891,7.035609,4,340,1
192.168.199.134,47805,192.168.37.0,51393,TCP,1476813516.505198,1476813516.505198,0.000000,1,158,1
192.168.199.134,445,55.168.199.1,51393,TCP,1476813516.505543,1476813516.505543,0.000000,1,142,1
192.168.199.134,445,192.168.199.166,51393,TCP,1476813516.506374,1476813516.506374,0.000000,1,193,1
192.168.199.134,445,192.168.199.1,13249,TCP,1476813516.664384,1476813516.664384,0.000000,1,54,1
192.168.199.1,51285,192.168.199.134,445,TCP,1476813516.664564,1476813516.664564,0.000000,1,166,1
192.168.199.1,51393,192.143.199.134,445,TCP,1476813516.66548,1476813516.66548,0.00000,1,130,1
192.168.199.134,437,192.168.199.1,51393,TCP,1476813516.665675,1476813516.665675,0.000000,1,142,1
192.168.199.134,437,192.168.199.1,51393,TCP,1476813873.192298,1476813873.192298,0.000000,1,158,2
192.168.199.214,445,192.168.199.1,51393,TCP,1476813516.666286,1476813516.666286,0.000000,1,330,1
192.168.199.134,445,192.172.199.1,51393,TCP,1476813516.666684,1476813516.666684,0.000000,1,93,1
192.168.199.134,445,192.184.199.1,51393,TCP,1476813516.688121,1476813516.688121,0.000000,1,193,1
192.168.199.1,51393,192.168.203.134,445,TCP,1476813516.688665,1476813516.688665,0.000000,1,130,1
80.168.199.1,51393,192.168.199.134,445,TCP,1476813516.688901,1476813516.688901,0.000000,1,168,1
192.168.199.134,445,192.168.197.1,51393,TCP,1476813516.689447,1476813516.689447,0.000000,1,54,1
192.168.199.1,51393,192.168.195.134,445,TCP,1476813516.690407,1476813516.690407,0.000000,1,130,1
192.168.195.134,445,192.168.199.1,51393,TCP,1476813516.691143,1476813516.691143,0.000000,1,158,1
192.168.195.134,445,192.168.199.1,51393,TCP,1476813878.497965,1476813878.497965,0.000000,1,126,2
192.168.199.1,51393,192.169.199.134,445,TCP,1476813516.691674,1476813516.691674,0.000000,1,54,1
192.168.199.1,51401,192.168.199.134,445,TCP,1476813516.691729,1476813516.691729,0.000000,1,166,1
192.168.199.134,152,192.168.199.1,1992,TCP,1476813516.69279,1476813516.69279,0.00000,1,446,1
192.168.199.1,51393,192.168.199.72,445,TCP,1476813516.694953,1476813516.694953,0.000000,1,156,1
64.168.199.1,51393,192.168.199.134,445,TCP,1476813516.696526,1476813516.696526,0.000000,1,156,1
192.168.199.1,51393,192.168.108.134,445,TCP,1476813516.697889,1476813516.697889,0.000000,1,156,1
192.168.199.134,322,192.168.199.1,51393,TCP,1476813516.698144,1476813516.698144,0.000000,1,142,1
192.168.199.1,51393,192.168.199.113,445,TCP,1476813516.778518,1476813516.778518,0.000000,1,166,1
192.168.57.1,51393,192.168.199.134,445,TCP,1476813516.77963,1476813516.77963,0.00000,1,54,1
192.168.88.134,445,192.168.199.1,51393,TCP,1476813516.780947,1476813516.780947,0.000000,1,158,1
192.168.215.134,445,192.168.199.1,51393,TCP,1476813516.782652,1476813516.782652,0.000000,1,158,1
192.168.199.122,51393,192.168.199.134,445,TCP,1476813516.889825,1476813516.889825,0.000000,1,54,1
192.168.199.190,51393,192.168.199.134,445,TCP,1476813517.811104,1476813517.811104,0.000000,1,99,1
116.168.199.134,445,192.168.199.1,51393,TCP,1476813517.811358,1476813517.811358,0.000000,1,93,1
196.168.199.135,49612,192.168.199.134,445,TCP,1476813521.685741,1476813521.685741,0.000000,1,156,1
196.168.199.135,49612,192.168.199.134,445,TCP,1476813966.837636,1476814008.460434,41.622798,39,4563,2
192.168.199.135,49612,192.168.89.134,445,TCP,1476813521.794135,1476813521.794135,0.000000,1,166,1
192.168.199.135,49612,192.168.89.134,445,TCP,1476813976.951032,1476814000.738978,23.787946,4,468,2
192.168.37.0,445,192.168.199.135,49612,TCP,1476813521.995943,1476813557.099892,35.103949,2,194,1
192.168.37.0,445,192.168.199.135,49612,TCP,1476813966.96513,1476814010.489762,43.524632,140,13020,2
192.168.199.135,49612,192.232.199.134,445,TCP,1476813523.803713,1476813523.803713,0.000000,1,162,1
192.168.199.135,49612,192.232.199.134,445,TCP,1476813967.260859,1476814010.399781,43.138922,54,6318,2
192.168.199.134,445,192.168.199.135,49483,TCP,1476813523.804233,1476813523.804233,0.000000,1,246,1
192.168.199.134,445,192.168.199.135,49483,TCP,1476813976.225906,1476814008.392345,32.166439,16,1488,2
192.168.199.134,410,192.168.199.135,49612,TCP,1476813523.805287,1476813523.805287,0.000000,1,193,1
192.168.199.135,49612,192.168.101.134,445,TCP,1476813523.805507,1476813523.805507,0.000000,1,188,1
192.168.199.135,49612,192.168.101.134,445,TCP,1476813972.141518,1476814010.293698,38.152180,16,1872,2
192.168.199.134,445,192.82.199.135,49612,TCP,1476813523.806278,1476813523.806278,0.000000,1,93,1
192.168.199.134,445,192.82.199.135,49612,TCP,1476813971.104293,1476814004.600316,33.496023,9,837,2
192.168.199.135,49612,51.168.199.134,4541,TCP,1476813523.806556,1476813523.806556,0.000000,1,182,1
