src,src_port,dst,dst_port,protocol,start,end,duration,packets,bytes,occurrence_id
192.168.199.135,49612,192.168.116.134,445,TCP,1476813966.865416,1476814007.988639,41.123223,14,1638,2
192.168.199.134,445,192.168.199.135,49522,TCP,1476813966.715315,1476814007.849415,41.134100,12,1116,2
192.168.199.134,445,192.168.199.135,49613,TCP,1476813967.320124,1476814010.225905,42.905781,53,4929,2
192.168.199.135,61866,192.168.199.1,53,UDP,1476813907.033181,1476813914.068452,7.035271,2,170,1
192.168.199.134,293,192.168.199.133,7,TCP,1476813909.288159,1476813967.632975,58.344816,6,702,1
192.170.170.170,43690,170.170.170.170,43690,TCP,1476813909.289896,1476814010.480882,101.190986,193,20272,1
54.168.199.133,49671,192.168.199.134,445,TCP,1476813915.516452,1476813931.010308,15.493856,2,234,1
192.168.199.134,445,192.168.215.133,49671,TCP,1476813915.517539,1476813941.510672,25.993133,2,272,1
192.168.199.133,49671,192.168.199.134,21949,TCP,1476813915.570044,1476813931.01098,15.440936,3,288,1
192.168.199.133,49671,196.168.199.134,445,TCP,1476813928.946968,1476813946.759759,17.812791,4,405,1
192.168.199.198,445,192.168.199.133,49671,TCP,1476813929.00853,1476813947.322621,18.314091,3,404,1
192.168.199.133,49671,192.168.199.49,445,TCP,1476813929.010059,1476813940.508498,11.498439,2,234,1
192.168.199.133,49671,208.168.199.134,445,TCP,1476813929.196366,1476813945.69724,16.500874,3,351,1
192.168.199.133,24,192.168.199.134,1992,TCP,1476813929.322207,1476813947.5112,18.188993,4,468,1
192.168.199.133,49735,192.168.199.134,445,TCP,1476813929.322939,1476813946.258737,16.935798,4,405,1
192.168.199.134,445,192.168.199.133,51719,TCP,1476813929.323074,1476813945.947223,16.624149,3,386,1
192.168.199.134,189,192.168.199.37,49671,TCP,1476813929.324076,1476813943.509393,14.185317,4,508,1
192.168.199.133,49671,192.168.199.134,441,TCP,1476813929.446539,1476813937.695413,8.248874,2,234,1
192.168.199.133,49671,192.168.199.134,16829,TCP,1476813929.447077,1476813942.94862,13.501543,3,363,1
192.168.199.133,49671,193.168.199.134,445,TCP,1476813929.447651,1476813947.945451,18.497800,3,363,1
192.168.199.133,49701,192.168.199.134,189,TCP,1476813929.449332,1476813947.757809,18.308477,8,873,1
192.168.199.133,49671,192.168.199.134,324,TCP,1476813929.51092,1476813931.760559,2.249639,3,363,1
192.168.199.133,20999,192.168.199.134,445,TCP,1476813929.511711,1476813934.258383,4.746672,2,246,1
196.168.199.134,445,192.168.199.133,49671,TCP,1476813929.511863,1476813940.070816,10.558953,2,228,1
192.168.199.134,2493,192.168.199.133,49671,TCP,1476813929.594239,1476813939.197865,9.603626,5,627,1
192.168.199.133,49671,192.168.199.134,13501,TCP,1476813929.594785,1476813931.009653,1.414868,2,234,1
192.168.199.133,49671,192.184.199.134,445,TCP,1476813929.63322,1476813935.383398,5.750178,3,351,1
167.168.199.134,445,192.168.199.133,49671,TCP,1476813929.635317,1476813929.823646,0.188329,2,244,1
192.168.71.133,49671,192.168.199.134,445,TCP,1476813929.694681,1476813947.509413,17.814732,2,171,1
192.168.199.133,49671,192.40.199.134,445,TCP,1476813929.699026,1476813944.323393,14.624367,2,246,1
192.168.199.121,49671,192.168.199.134,445,TCP,1476813929.822448,1476813939.89409,10.071642,2,234,1
0.168.199.134,445,192.168.199.133,49671,TCP,1476813929.882496,1476813954.717738,24.835242,7,686,1
192.168.199.133,49671,192.168.199.134,2493,TCP,1476813930.007927,1476813936.819927,6.812000,3,363,1
192.168.199.133,49671,192.168.199.134,8637,TCP,1476813930.01045,1476813938.446894,8.436444,4,468,1
192.168.199.133,49671,192.168.197.134,445,TCP,1476813930.069552,1476813951.18891,21.119358,4,354,1
192.232.199.134,445,192.168.199.133,49671,TCP,1476813930.072184,1476813945.195422,15.123238,2,219,1
192.168.199.135,445,192.168.199.133,49671,TCP,1476813930.073617,1476813949.664407,19.590790,4,442,1
192.168.199.133,49671,192.168.199.78,445,TCP,1476813930.133217,1476813941.761237,11.628020,2,234,1
192.168.199.133,30471,192.168.199.134,445,TCP,1476813930.133508,1476813935.384866,5.251358,2,234,1
192.168.199.134,445,192.168.199.129,49671,TCP,1476813930.195531,1476813948.07167,17.876139,3,370,1
192.168.199.133,49671,192.168.199.87,445,TCP,1476813930.320872,1476813943.009634,12.688762,3,351,1
192.168.199.133,49671,192.168.199.134,426,TCP,1476813930.32242,1476813945.321208,14.998788,4,468,1
192.168.199.134,445,192.168.199.5,49671,TCP,1476813930.382374,1476813942.323086,11.940712,2,219,1
192.168.199.170,43690,170.170.170.170,43690,TCP,1476813930.383041,1476814010.516704,80.133663,173,18477,1
192.168.207.134,445,192.168.199.133,49671,TCP,1476813930.514001,1476813942.699318,12.185317,2,194,1
192.168.199.134,445,192.168.199.133,49745,TCP,1476813930.571476,1476813934.759373,4.187897,2,264,1
192.168.199.134,445,192.168.199.132,49671,TCP,1476813930.571828,1476813938.759268,8.187440,3,395,1
192.168.199.133,49716,192.168.199.134,445,TCP,1476813930.572031,1476813942.698034,12.126003,2,234,1
192.168.199.133,49671,192.168.199.134,4541,TCP,1476813930.572759,1476813947.447662,16.874903,3,351,1
